time,open,high,low,close,Volume
1746720000,3345,3345,3300.01,3323.57,1.73685
1746734400,3344.98,3370,3305.25,3347.89,7.4234
1746748800,3347.89,3359.89,3288.75,3327.88,36.80065
1746763200,3322.14,3359.98,3321.19,3359.98,32.63103
1746777600,3357.98,3359.14,3330.06,3351.24,29.51239
1746792000,3351.24,3387.25,3334.43,3375.58,40.88635
1746806400,3387.24,3387.24,3334.74,3363.78,36.30029
1746820800,3363.72,3439.71,3313.33,3349.57,33.7312
1746835200,3373.81,3373.81,3338.12,3353.13,14.24064
1746849600,3351.37,3353,3336.86,3352.82,8.57663
1746864000,3352.98,3352.98,3324.56,3350.07,14.35896
1746878400,3337.58,3370.33,3318.95,3336.89,11.82608
1746892800,3336.89,3340,3317.01,3339.49,12.25135
1746907200,3339.49,3344.7,3329.54,3339.89,14.95064
1746921600,3336.65,3358.05,3327.19,3332.44,14.68149
1746936000,3329.02,3341.14,3329.02,3336.5,4.61814
1746950400,3327.08,3341.14,3327.08,3334.42,5.37481
1746964800,3336.25,3340.67,3325.53,3340.67,14.44459
1746979200,3340.67,3340.67,3318,3318.13,104.36251
1746993600,3318.07,3326.06,3280.8,3297.87,78.57472
1747008000,3300.94,3305.22,3273.91,3303.2,14.45099
1747022400,3303.2,3305.11,3230,3240.28,7.05542
1747036800,3230,3262.08,3225.97,3242.14,20.01895
1747051200,3251.26,3273.87,3237.39,3237.39,21.92569
1747065600,3271.39,3271.39,3200.02,3264.15,61.47345
1747080000,3264.14,3270,3246.75,3259.29,13.83532
1747094400,3248.97,3263.98,3236.62,3251.55,4.36227
1747108800,3261.02,3270,3250.04,3270,4.27675
1747123200,3270,3270,3261.22,3270,7.81739
1747137600,3270,3270,3250.06,3269.45,11.18793
1747152000,3269.46,3270,3261.05,3269.99,10.1039
1747166400,3262.02,3270,3257.14,3269.63,13.42764
1747180800,3265.04,3270,3237.88,3237.88,6.53984
1747195200,3250.68,3255.66,3238.07,3255.66,2.71334
1747209600,3260.87,3260.87,3236.09,3239.84,4.76033
1747224000,3239.14,3239.14,3201,3202.77,32.32645
1747238400,3201,3215.05,3189.4,3200.29,16.11082
1747252800,3211.51,3216.29,3194.92,3211.28,11.28092
1747267200,3211.28,3215.22,3171.1,3180.28,10.56102
1747281600,3180.28,3182.65,3151.97,3175.28,2.93226
1747296000,3171.02,3200.31,3152.34,3200.31,6.26825
1747310400,3200.31,3239.07,3139.04,3237.7,58.30827
1747324800,3237.46,3249.18,3228.67,3243.3,12.50647
1747339200,3243.31,3270,3242.31,3258.1,13.024
1747353600,3258.1,3258.1,3223.35,3225.76,12.90171
1747368000,3231.24,3248.37,3226.79,3232.06,4.98544
1747382400,3232.06,3232.06,3174.71,3179.2,6.16479
1747396800,3177.14,3207.65,3176.83,3200.01,3.91021
1747411200,3200.01,3232.62,3200,3221.48,7.57014
1747425600,3219.64,3235.79,3200.07,3235.69,4.64644
1747440000,3235.67,3247.42,3210.39,3245.31,8.68764
1747454400,3244.87,3244.87,3222.3,3232.98,5.74386
1747468800,3227.35,3235.22,3220.07,3235.2,0.66167
1747483200,3235.09,3254.89,3219.67,3236.19,19.62284
1747497600,3229.72,3237.1,3221.36,3223.07,3.51871
1747512000,3223.08,3233.91,3219.17,3233.72,3.23189
1747526400,3227.34,3244.48,3227.32,3244.48,5.99493
1747540800,3236.09,3250.12,3227.42,3240.28,4.69218
1747555200,3228.88,3239.3,3221.46,3223.51,1.00038
1747569600,3223.51,3237.11,3222.04,3233.92,3.19935
1747584000,3224.29,3233.08,3201.27,3209.03,12.46373
1747598400,3205,3255.32,3199.03,3252.08,8.80189
1747612800,3248.84,3260.09,3226.34,3226.34,3.77562
1747627200,3231.74,3256.49,3225.1,3253.62,3.85873
1747641600,3255.13,3270,3247.35,3265.29,5.62762
1747656000,3269.97,3269.97,3243.53,3269.84,7.2673
1747670400,3255.25,3270,3250,3253.31,7.63668
1747684800,3255.21,3261.36,3232.12,3239.58,11.46099
1747699200,3239.52,3246.12,3216.54,3219.11,7.88451
1747713600,3227.46,3238.8,3219.15,3235.07,2.44282
1747728000,3238.8,3265,3231.59,3264.95,3.46196
1747742400,3264.95,3305.32,3251.54,3289.87,8.51452
1747756800,3298.57,3310.56,3290.06,3303.17,8.7811
1747771200,3309.93,3319.93,3300.33,3318.69,19.27059
1747785600,3310.44,3324.08,3301.66,3324.03,16.1221
1747800000,3318,3335.18,3314.86,3323.43,8.94026
1747814400,3312.79,3332.94,3312.79,3327.91,2.35794
1747828800,3326.83,3346.53,3302.42,3330.15,22.10475
1747843200,3324.08,3339.95,3313.37,3338.11,42.63555
1747857600,3337.83,3337.83,3310.56,3323.37,13.16498
