time,open,high,low,close,Volume
1673542800,14160.5,14222,14144,14207.25,62132
1673546400,14207.25,14241.75,14122,14235.25,78935
1673550000,14235.75,14245,14186.75,14206.5,47887
1673553600,14206.75,14208.5,14154.25,14202.5,63600
1673557200,14202,14208.75,14190.25,14191.75,10249
1673564400,14198.75,14198.75,14184.5,14195,2465
1673568000,14194.25,14206.5,14188.25,14190,3651
1673571600,14190.25,14198,14157.25,14165,5241
1673575200,14164.75,14164.75,14141.75,14158.25,4900
1673578800,14158.75,14167.25,14148.25,14156,2434
1673582400,14155.5,14162.25,14152,14161.75,1820
1673586000,14161.75,14164,14152.5,14161.5,2380
1673589600,14162,14180.5,14159.25,14177,3613
1673593200,14177.75,14196.5,14170.75,14194.75,4433
1673596800,14196,14198.25,14170.5,14195,8263
1673600400,14195,14198.25,14163.75,14189.5,7904
1673604000,14189.75,14204.75,14178.25,14183.75,5257
1673607600,14183.25,14184.25,14129.75,14144.5,11935
1673611200,14144.5,14153.25,14075.25,14083,17054
1673614800,14083.5,14094.5,14064.5,14075.5,21006
1673618400,14075.75,14147.5,14059.25,14128.25,77840
1673622000,14127.75,14208.5,14110.75,14187,73896
1673625600,14187.5,14196,14124.25,14154.5,56070
1673629200,14155,14198.75,14150.5,14195.75,32227
1673632800,14195.75,14238.5,14175,14231.25,34463
1673636400,14231,14249,14218.75,14236.25,29207
1673640000,14236.5,14289.75,14233.25,14277.75,58701
1673643600,14278.25,14281.25,14256.75,14271.75,11454
1673823600,14283.75,14290,14252.75,14257,4320
1673827200,14257.5,14279,14253.75,14276,3188
1673830800,14275.75,14309,14272,14302.75,4041
1673834400,14304,14306.5,14292,14297.75,2216
1673838000,14298,14299.25,14287.25,14296.75,1423
1673841600,14297.25,14298.5,14287.5,14288,1235
1673845200,14288,14289.75,14273.25,14275.5,1620
1673848800,14276,14277.25,14253.75,14261.25,2603
1673852400,14261.25,14261.75,14250.25,14261.5,2042
1673856000,14261.25,14261.5,14202.5,14208.25,8096
1673859600,14208.25,14212.25,14180.5,14185.25,8314
1673863200,14185.75,14225.25,14184.75,14223.25,5210
1673866800,14223.5,14252.25,14221.25,14233.25,6218
1673870400,14233.25,14242.75,14225.75,14239,4157
1673874000,14239.25,14267,14237.25,14257.75,6303
1673877600,14257.75,14281.5,14255,14269.75,8563
1673881200,14269.75,14278.5,14252.25,14265.5,6809
1673884800,14265.75,14269,14236.75,14241.5,5344
1673888400,14240.75,14255,14230.75,14234.25,4743
1673910000,14240.25,14268.5,14239.25,14255.5,3402
1673913600,14255.25,14272.25,14239.25,14258,4088
1673917200,14257.25,14261.75,14221.25,14227.5,4905
1673920800,14227.75,14241,14212.25,14222.25,3778
1673924400,14222.25,14227.75,14213.25,14222.75,2891
1673928000,14222.5,14226.5,14215.25,14216,2025
1673931600,14215.5,14218.75,14204.5,14214.25,2384
1673935200,14214.25,14222.25,14206.25,14208.25,2753
1673938800,14208,14227.25,14200.75,14219.5,4738
1673942400,14220,14239.5,14216.25,14231.5,6727
1673946000,14231.5,14247.75,14209.25,14226.25,7892
1673949600,14225.75,14249.25,14216.75,14240.25,4559
1673953200,14241.25,14242.75,14226.75,14240.25,4109
1673956800,14241,14259.25,14221.75,14231.25,10697
1673960400,14231.5,14256,14212.5,14234.5,17559
1673964000,14234.5,14297.5,14219.75,14285,86340
1673967600,14284.5,14355.25,14256,14280,95320
1673971200,14279.75,14297.75,14225,14288,57180
1673974800,14288.25,14304.5,14258.5,14296,34727
1673978400,14296.25,14320,14288.25,14315.25,30124
1673982000,14315.5,14320.25,14274.75,14296.5,40240
1673985600,14297,14314.25,14273,14297.75,45816
1673989200,14297.25,14308,14288.75,14293.5,10637
1673996400,14290,14293.75,14252.75,14264.75,5251
1674000000,14264.5,14269,14252,14262.5,3120
1674003600,14262,14277,14261,14273,2930
1674007200,14273.25,14362.75,14261.25,14319.25,12113
1674010800,14318.75,14333,14289,14297,6847
1674014400,14297,14319,14286,14315.5,4078
1674018000,14315.25,14317.25,14303,14310.75,2110
1674021600,14310,14329.5,14308.75,14325,2725
1674025200,14325,14332.75,14306.25,14318.5,4669
1674028800,14318.75,14332.25,14284.25,14305,8705
1674032400,14305.5,14312,14290,14300.75,5590
1674036000,14300.75,14316,14284.25,14308.25,5206
1674039600,14308.75,14320.25,14303.25,14315.5,4541
1674043200,14314.5,14344.25,14313.25,14341.5,7215
1674046800,14340.75,14392,14306.5,14361,36671
1674050400,14360.75,14397,14342.5,14389.5,88730
1674054000,14389.75,14429.75,14255.75,14287.25,110878
1674057600,14287,14295.25,14188.75,14220.75,87218
1674061200,14221,14230.25,14175.75,14183.75,48319
1674064800,14183.75,14207.75,14153,14195,48627
1674068400,14195.25,14215.5,14173.75,14194.5,34437
1674072000,14194.5,14211,14140.75,14149.75,65731
1674075600,14149.75,14155.75,14138.25,14152.25,13142
1674082800,14140.75,14157.25,14136.75,14149.75,3026
1674086400,14150,14150.5,14120,14122.75,5163
1674090000,14123.25,14136.75,14118.25,14125.75,3376
1674093600,14125.25,14133.5,14116.75,14131,2575
1674097200,14130.75,14145.75,14129.5,14131.75,4239
1674100800,14131.75,14146.5,14131.25,14138.75,2644
1674104400,14139,14145,14127.5,14131.5,2205
1674108000,14131.75,14141,14119,14120,2605
1674111600,14120.25,14123.5,14098,14113.75,6023
1674115200,14115.5,14157,14109.75,14109.75,11228
1674118800,14110,14133.75,14092.25,14095.5,9017
1674122400,14096.25,14105.75,14070.5,14082.5,9240
1674126000,14083.25,14085,14043.75,14054.25,11545
1674129600,14053.75,14058.75,14026.5,14034.75,14182
1674133200,14035,14065,14015,14058,29110
1674136800,14057.5,14116.75,14019,14066.5,93661
1674140400,14066.5,14088,13991.25,14005.5,89756
1674144000,14005.75,14052.75,13978.75,13999,60911
1674147600,13999.25,14041.5,13998,14025.75,43428
1674151200,14025.75,14096.25,14021.5,14066.75,54328
1674154800,14067,14124.5,14049.25,14096,49096
1674158400,14096.75,14112.25,14022,14030.75,59114
1674162000,14030.25,14087,14025.5,14063.75,22800
1674169200,14071.25,14076.75,14051.75,14054,3911
1674172800,14054.25,14074.5,14052.5,14070.75,4081
1674176400,14071,14078,14060.75,14073.75,3106
1674180000,14074.25,14075,14059,14061.75,1707
1674183600,14061.75,14071.25,14059.5,14064.5,1449
1674187200,14065,14072,14062.5,14069.5,1188
1674190800,14069.25,14077.25,14064.5,14075,1643
1674194400,14074.75,14079.75,14068.5,14074.5,1765
