time,open,high,low,close,Volume
1761148800,1072.85,1076.53,1063.94,1071.53,71.52311
1761163200,1071.46,1106.64,1045.01,1072.83,284.58646
1761177600,1073.04,1093.07,1069.36,1087.11,234.99732
1761192000,1087.11,1112.28,1083,1110.97,144.26035
1761206400,1110.35,1123.91,1093.62,1095.38,119.62457
1761220800,1095.52,1163.08,1078,1130.81,808.89672
1761235200,1131.35,1141.09,1106.03,1119.1,858.03067
1761249600,1118.12,1131.05,1111.96,1127.4,359.1235
1761264000,1127.76,1142.63,1127.11,1136.38,514.66334
1761278400,1136.39,1143.52,1122.67,1124.88,200.76252
1761292800,1124.74,1135.9,1121.63,1126.02,185.29181
1761307200,1126.21,1136.95,1104.76,1105.17,539.15024
1761321600,1104.95,1114.07,1098.57,1110.58,140.10513
1761336000,1110.4,1115.26,1107.14,1109.23,126.11561
1761350400,1109.21,1118.4,1101.65,1117.3,294.21083
1761364800,1117.33,1119.36,1111.53,1112.82,162.53822
1761379200,1113,1118.16,1110.6,1115.97,99.84223
1761393600,1115.72,1118.88,1108.4,1108.4,99.58386
1761422400,1116.93,1121.59,1115.17,1117.56,124.18633
1761436800,1117.56,1124.8,1115.65,1117.63,227.381
1761451200,1117.63,1122.48,1116.36,1121.05,95.76765
1761465600,1121.4,1136.4,1121.12,1136.4,183.51452
1761480000,1136.6,1139.64,1126.83,1133.28,341.29666
1761494400,1133.16,1133.16,1123.93,1127.12,159.81137
1761508800,1127.13,1171.45,1124.13,1137.86,411.20117
1761523200,1138.2,1163.93,1137.37,1152.21,514.96673
1761537600,1152.93,1161.33,1140.88,1156.45,317.02182
1761552000,1157,1179.29,1147.83,1178.94,419.31635
1761566400,1179.29,1181.83,1131.61,1144.06,561.24394
1761580800,1144.22,1153.73,1142.76,1145.29,415.24639
1761595200,1145.12,1147.53,1134.43,1140.02,152.27483
1761609600,1139.19,1147.52,1132.04,1138.4,261.91154
1761624000,1138.2,1143.38,1121.18,1132.92,267.3224
1761638400,1132.56,1140.36,1130.79,1132.43,128.68587
1761652800,1132.44,1147.1,1127.56,1135.77,317.73038
1761667200,1135.61,1150.23,1126.86,1128.26,248.15462
1761681600,1127.95,1128.67,1074.64,1103.12,1290.50072
1761696000,1103.04,1107.82,1098.42,1103.8,339.38721
1761710400,1103.79,1120.95,1103.49,1116.99,149.34281
1761724800,1116.96,1121.39,1111.1,1112.97,337.97145
1761739200,1113.63,1118.73,1096.57,1099.77,422.57174
1761753600,1099.35,1113.82,1081.07,1106.6,670.46838
1761768000,1106.8,1119.73,1104.48,1107.71,163.38728
1761782400,1107.4,1119.89,1104,1118.4,295.22637
1761796800,1118.16,1118.66,1090.6,1118.66,209.79614
1761811200,1118.41,1129.71,1108.3,1112.88,170.94875
1761825600,1112.64,1113.79,1075.53,1076.88,480.93694
1761840000,1076.88,1083.17,1059.03,1060.8,395.70915
1761854400,1060.56,1079.04,1043.27,1078.95,343.98668
1761868800,1079.03,1088.4,1075.57,1085.4,351.89059
1761883200,1085.28,1102.6,1084.43,1098.46,139.22942
1761897600,1098.57,1104.38,1078.57,1088.08,546.93024
