time,open,high,low,close,Volume
1734580800,208.73,212.09,207.46,211.85,1179.911
1734595200,211.59,211.59,208,210.43,811.631
1734609600,210.39,210.94,202.49,204.83,1429.15
1734624000,204.97,206.64,187.08,192.09,6111.061
1734638400,191.41,198.19,187.78,194.09,2750.983
1734652800,193.94,199.72,191.79,196.16,2023.17
1734667200,196.33,197.38,188.16,191.36,3213.531
1734681600,191.1,191.54,175.4,175.98,8437.605
1734696000,176.08,191.28,175.97,189.48,4442.704
1734710400,189.22,193.1,188.46,191.61,1051.892
1734724800,190.87,194.53,187.9,194.53,1063.508
1734739200,194.34,196.64,193.26,194.54,905.537
1734753600,194.94,204.71,194.43,198.81,1806.245
1734768000,198.87,198.99,192.31,192.91,1871.897
1734782400,192.91,193.02,183.26,186.18,2204.802
1734796800,185.63,187.46,178.53,181.56,2057.595
1734811200,181.57,183.47,178.75,181.42,1692.26
1734825600,181.43,183.82,180.24,182.73,1132.647
1734840000,182.74,184.75,177.96,184.65,2317.878
1734854400,184.4,186.98,183.97,186.89,434.663
1734868800,186.98,187.82,179.11,181.41,657.269
1734883200,180.78,184.03,177.78,177.78,847.405
1734897600,177.65,182.33,176.97,180.48,600.987
1734912000,180.58,187.36,176.52,185.85,1807.497
1734926400,186.15,187.62,179.99,182.04,1259.871
1734940800,182.88,186.57,182.77,183.57,452.765
1734955200,183.37,185.64,180.78,180.78,1395.487
1734969600,181.4,189.59,181.4,187.27,824.756
1734984000,187.51,193.45,186.84,190.05,1768.798
1734998400,190.05,190.25,186.24,190.06,1435.909
1735012800,189.99,191.9,189.43,190.94,94.091
1735027200,191.46,193.87,190.67,193,599.289
1735041600,192.66,198.97,191.44,197.77,825.201
1735056000,197.64,198.49,195.21,195.37,1386.482
1735070400,194.78,197.81,193.35,197.07,515.063
1735084800,197.16,201.86,196.44,199.75,1439.574
1735099200,199.94,200.51,197.76,198.08,820.31
1735113600,198.28,200.39,195.17,195.17,910.222
1735128000,195.99,199.39,195.24,198.13,204.163
1735142400,197.79,199.41,196.37,199.04,210.737
