time,open,high,low,close,Volume,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,20w SMA,21w EMA,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot,Multi-Timeframe Moving Avg,2nd Multi-TimeFrame Moving Average,Plot
1767780000,79.88,82.4,78.57,79.48,56703.318,,,,,,,,,,,
1767783600,79.48,79.84,78.61,78.98,16337.2,,,,,,,,,,,
1767787200,78.98,79.2,78.21,78.71,25497.951,,,,,,,,,,,
1767790800,78.69,78.92,77.19,77.67,27348.292,,,,,,,,,,,
1767794400,77.69,78.19,76.8,77.93,33433.396,,,,,,,,,,,
1767798000,77.95,79.99,76.5,77.24,20078.366,,,,,,,,,,,
1767801600,77.3,79.1,77.3,78.96,12896.175,,,,,,,,,,,
1767805200,79.01,79.03,78.01,78.19,9061.393,,,,,,,,,,,
1767808800,78.19,78.4,77.56,78.33,5849.428,,,,,,,,,,,
1767812400,78.33,78.62,77.96,78.57,2569.678,,,,,,,,,,,
1767816000,78.6,78.75,78.3,78.46,2410.967,,,,,,,,,,,
1767819600,78.46,78.5,77.9,78.24,2872.763,,,,,,,,,,,
1767823200,78.24,78.86,77.4,78.35,2499.149,,,,,,,,,,,
1767826800,78.35,79.01,78.19,78.92,2830.967,,,,,,,,,,,
1767830400,78.86,79.73,77.4,77.93,7449.914,,,,,,,,,,,
1767834000,77.88,79.2,77.08,78.68,3850.116,,,,,,,,,,,
1767837600,78.68,78.71,77.72,77.97,3406.572,,,,,,,,,,,
1767841200,78.05,78.58,77.7,78.11,4144.182,,,,,,,,,,,
1767844800,78.16,78.16,77.5,77.66,3953.08,,,,,,,,,,,
1767848400,77.66,77.67,75.61,76.25,15782.158,,,,,,,,,,,
1767852000,76.2,76.9,75.7,76.4,9980.652,,,,,,,,,,,
1767855600,76.42,76.9,75.82,76.06,10166.625,,,,,,,,,,,
1767859200,76.06,76.5,75.4,75.9,6894.622,,,,,,,,,,,
1767862800,75.94,76.46,75.74,76.4,6331.983,,,,,,,,,,,
1767866400,76.36,76.38,75.7,76.17,3419.88,,,,,,,,,,,
1767870000,76.19,76.19,75.62,75.62,3803.921,,,,,,,,,,,
1767873600,75.6,75.71,74.71,75.44,10060.944,,,,,,,,,,,
1767877200,75.4,75.56,74.4,74.53,12509.882,,,,,,,,,,,
1767880800,74.51,75,74.04,74.78,13887.096,,,,,,,,,,,
1767884400,74.78,76.12,73.01,75.85,24357.562,,,,,,,,,,,
1767888000,75.87,76.56,75.6,76.37,8232.706,,,,,,,,,,,
1767891600,76.37,76.55,75.87,76.28,5678.607,,,,,,,,,,,
1767895200,76.25,76.25,75.3,75.85,5797.802,,,,,,,,,,,
1767898800,75.85,76.1,75.71,76.01,2362.62,,,,,,,,,,,
1767902400,76,77.11,75.97,77.03,6278.401,,,,,,,,,,,
1767906000,77.03,77.21,76.84,77.08,4841.034,,,,,,,,,,,
1767909600,77.01,77.19,76.58,76.58,1344.493,,,,,,,,,,,
1767913200,76.58,77.21,76.3,76.85,4973.179,,,,,,,,,,,
1767916800,76.85,76.95,76.05,76.15,3852.797,,,,,,,,,,,
1767920400,76.15,76.81,75.78,76.7,3868.382,,,,,,,,,,,
1767924000,76.71,77.65,76.7,77.18,5646.134,,,,,,,,,,,
1767927600,77.17,77.17,76.39,76.76,4465.14,,,,,,,,,,,
1767931200,76.76,77.09,76.6,76.85,5223.312,,,,,,,,,,,
1767934800,76.85,77.24,76.52,77.08,9079.679,,,,,,,,,,,
1767938400,77.08,77.63,76.77,77.38,12350.47,,,,,,,,,,,
1767942000,77.38,77.58,77.18,77.27,9980.399,,,,,,,,,,,
1767945600,77.27,77.97,77.1,77.55,11613.914,,,,,,,,,,,
1767949200,77.59,78.45,77.58,78.19,15097.459,,,,,,,,,,,
1767952800,78.17,78.33,77.7,78.14,9141.356,,,,,,,,,,,
1767956400,78.14,78.34,77.7,78.05,8802.678,,,,,,77.2226,,,,,
1767960000,78.05,78.49,77.3,77.5,12955.874,,,,,,77.183,,,,,
1767963600,77.52,78.78,77.38,78.3,22346.598,,,,,,77.1694,,,,,
1767967200,78.32,79.8,78.3,79.4,37637.113,,,,,,77.1832,,,,,
1767970800,79.4,80.31,79.01,80.19,29353.264,,,,,,77.2336,,,,,
1767974400,80.19,80.53,79.61,80.46,19416.125,,,,,,77.2842,,,,,
1767978000,80.46,80.49,79.26,79.53,22809.565,,,,,,77.33,,,,,
1767981600,79.52,80.3,79.36,79.96,13518.342,,,,,,77.35,,,,,
1767985200,79.95,80.15,79.67,79.97,10598.118,,,,,,77.38560000000001,,,,,
1767988800,79.95,80.29,79.64,79.92,8824.873,,,,,,77.4174,,,,,
1767992400,79.91,80.22,79.78,79.98,3982.517,77.60566666666666,,,,,77.4456,,,,,
1767996000,79.98,80.24,79.76,79.98,2849.247,77.614,,,,,77.476,,,,,
1767999600,80.03,80.24,79.67,79.86,3278.127,77.62866666666667,,,,,77.5084,,,,,
1768003200,79.85,79.89,79.22,79.84,5033.781,77.64750000000001,,,,,77.5382,,,,,
1768006800,79.84,80.2,79.8,79.96,3332.631,77.68566666666668,,,,,77.559,,,,,
1768010400,79.92,80.18,79.87,80.08,3008.201,77.7215,,,,,77.602,,,,,
1768014000,80.1,80.16,79.99,79.99,3467.998,77.76733333333333,,,,,77.62819999999999,,,,,
1768017600,79.99,80.07,79.87,79.95,3323.562,77.78383333333333,,,,,77.6678,,,,,
1768021200,79.95,80.03,79.87,79.89,2147.049,77.81216666666666,,,,,77.7034,,,,,
1768024800,79.89,79.98,79.87,79.94,2642.627,77.839,,,,,77.749,,,,,
1768028400,79.91,79.93,79.87,79.89,2406.243,77.861,,,,,77.8218,,,,,
1768032000,79.89,79.97,79.87,79.9,2363.577,77.885,,,,,77.89179999999999,,,,,
1768035600,79.88,79.98,79.8,79.81,3438.437,77.91116666666667,,,,,77.96679999999999,,,,,
1768039200,79.81,80.07,79.8,80.06,2342.489,77.93966666666667,,,,,78.05,,,,,
1768042800,80.07,80.1,79.9,79.96,1450.556,77.95700000000001,,,,,78.12119999999999,,,,,
1768046400,79.96,80,79.79,79.88,2919.938,77.98949999999999,,,,,78.19539999999999,,,,,
1768050000,79.88,80,79.83,80,2023.887,78.01150000000001,,,,,78.28299999999999,,,,,
1768053600,80,80.09,79.92,80.03,3459.872,78.04583333333333,,,,,78.3748,,,,,
1768057200,80.03,80.11,79.95,80.04,78565.037,78.078,,,,,78.48499999999999,,,,,
1768060800,80.04,80.32,79.95,80.08,30782.319,78.11833333333334,,,,,78.591,,,,,
1768064400,80.08,82,80.02,80.23,23015.623,78.18466666666667,,,,,78.67859999999999,,,,,
1768068000,80.23,80.3,80.09,80.25,2721.245,78.24883333333332,,,,,78.75619999999999,,,,,
1768071600,80.25,80.3,80.13,80.16,1494.69,78.31716666666667,,,,,78.8338,,,,,
1768075200,80.19,80.44,80.18,80.38,1296.896,78.39183333333332,,,,,78.92439999999999,,,,,
1768078800,80.38,80.66,80.29,80.42,2302.951,78.45883333333333,,,,,79.01259999999999,,,,,
1768082400,80.4,80.47,80.09,80.11,2493.828,78.52449999999999,,,,,79.0742,,,,,
1768086000,80.11,80.31,79.71,79.86,8206.912,78.59516666666667,,,,,79.12979999999999,,,,,
1768089600,79.85,80.14,79.71,80.09,2887.912,78.67266666666666,,,,,79.2,,,,,
1768093200,80.09,80.44,80.09,80.44,2600.69,78.77116666666666,,,,,79.2718,,,,,
1768096800,80.44,80.49,80.15,80.27,3616.683,78.86266666666666,,,,,79.3542,,,,,
1768100400,80.26,80.27,80.02,80.02,1992.709,78.93216666666666,,,,,79.42060000000001,,,,,
1768104000,80.03,80.15,79.5,80.11,5489.098,78.9945,,,,,79.4792,,,,,
1768107600,80.11,80.2,80.02,80.11,1113.375,79.05833333333334,,,,,79.5462,,,,,
1768111200,80.11,80.31,80.1,80.26,1847.989,79.13183333333333,,,,,79.61439999999999,,,,,
1768114800,80.23,80.27,80.1,80.1,1496.369,79.2,,,,,79.67479999999999,,,,,
1768118400,80.12,80.24,80.09,80.2,1384.073,79.25283333333333,,,,,79.7312,,,,,
1768122000,80.2,80.25,80.12,80.24,1265.793,79.3055,,,,,79.7906,,,,,
1768125600,80.25,80.25,80.14,80.18,1271.638,79.36550000000001,,,,,79.84319999999998,,,,,
1768129200,80.16,80.19,79.98,80.01,2319.667,79.41816666666666,,,,,79.8796,,,,,
1768132800,80.02,80.2,79.99,80.15,2335.533,79.48483333333334,,,,,79.91979999999998,,,,,
1768136400,80.15,80.18,80.06,80.1,1115.869,79.5415,,,,,79.96079999999999,,,,,
1768140000,80.1,80.19,80.06,80.1,2084.92,79.59016666666666,,,,,80.01279999999998,,,,,
1768143600,80.1,80.2,80,80.04,2026.88,79.64483333333332,,,,,80.04759999999999,,,,,
1768147200,80.05,80.23,80.05,80.22,1941.88,79.701,,,,,80.064,,,,,
1768150800,80.22,80.47,80.02,80.27,4406.56,79.75416666666666,,,,,80.06559999999999,,,,,
1768154400,80.27,80.33,80.12,80.26,1089.539,79.80216666666666,,,,,80.06159999999998,,,,,
1768158000,80.26,80.42,80.21,80.21,1964.413,79.85116666666666,,,,,80.07519999999998,,,,,
1768161600,80.25,80.4,80.17,80.3,2125.512,79.89699999999999,,,,,80.082,,,,,
1768165200,80.28,80.61,80.23,80.32,3137.817,79.93249999999999,,,,,80.08899999999998,,,,,
1768168800,80.35,80.43,80.18,80.29,1669.039,79.96833333333332,,,,,80.09639999999999,,,,,
1768172400,80.29,81.88,80.1,81.65,37866.179,80.02833333333334,,,,,80.12979999999999,,,,,
1768176000,81.64,83.92,81.56,83.4,60655.697,80.12666666666665,,,,,80.19819999999999,,,,,
1768179600,83.39,84.31,82.9,82.99,46466.429,80.20483333333333,,,,,80.26079999999999,,,,,
1768183200,83.01,83.7,82.51,83.54,58327.632,80.27383333333333,,,,,80.3348,,,,,
1768186800,83.59,84.07,83.19,83.43,25697.923,80.32783333333332,,,,,80.40419999999999,,,,,
1768190400,83.44,83.86,83.22,83.59,10393.109,80.38000000000001,,,,,80.4744,,,,,
1768194000,83.55,84.74,83.4,84.71,31570.053,80.46633333333332,,,,,80.5688,,,,,
1768197600,84.7,84.74,84.18,84.58,25234.716,80.54333333333332,,,,,80.6614,,,,,
1768201200,84.6,84.6,83.76,84.25,28625.781,80.61466666666666,,,,,80.7486,,,,,
1768204800,84.24,84.61,84.19,84.35,18926.161,80.68849999999999,,,,,80.8368,,,,,
1768208400,84.34,84.65,84.14,84.35,18195.688,80.76133333333333,,,,,80.92599999999999,,,,,
1768212000,84.36,84.47,84.09,84.4,10336.227,80.83499999999998,,,,,81.01599999999999,,,,,
1768215600,84.4,84.4,83.7,83.93,24655.122,80.9028333333333,,,,,81.09839999999998,,,,,
1768219200,83.95,84.33,83.72,84.22,16826.124,80.97583333333333,,,,,81.18159999999999,,,,,
1768222800,84.23,85.96,84.12,85.8,67797.798,81.07316666666665,,,,,81.29839999999999,,,,,
1768226400,85.8,85.87,84,85.22,88503.875,81.15883333333332,,,,,81.40519999999998,,,,,
1768230000,85.2,85.97,85.02,85.45,45523.397,81.24983333333333,,,,,81.51419999999999,,,,,
1768233600,85.44,86.33,85.43,86.06,39910.714,81.35166666666666,,,,,81.63479999999998,,,,,
1768237200,86.07,86.35,85.6,86.03,20306.558,81.454,,,,,81.75459999999998,,,,,
1768240800,86.03,86.1,85.04,85.62,25417.49,81.54866666666665,,,,,81.86539999999998,,,,,
1768244400,85.62,85.97,85.5,85.73,13928.425,81.64599999999999,,,,,81.97539999999998,,,,,
1768248000,85.69,85.8,84.92,85.25,13861.836,81.73516666666666,,,,,82.07539999999999,,,,,
1768251600,85.28,85.36,84.84,85.36,10019.573,81.82766666666664,,,,,82.17939999999999,,,,,
1768255200,85.34,85.58,84.61,84.99,9507.169,81.90983333333331,,,,,82.27159999999998,,,,,
1768258800,85.03,85.27,83.3,84.52,62675.318,81.98583333333332,,,,,82.35359999999999,,,,,
