time,open,high,low,close,Volume
1762732800,996.52,1018.64,991.62,1013.2,329.02453
1762736400,1013.36,1015.15,1008.08,1011,135.3087
1762740000,1010.88,1015.01,1008.48,1014.36,60.44246
1762743600,1014.48,1017.24,1011.98,1013.52,61.71881
1762747200,1014,1014.23,1008.96,1011.25,52.13869
1762750800,1011.24,1011.52,1004.14,1006.66,93.30571
1762754400,1006.86,1008.72,1003.98,1008.3,100.45078
1762758000,1008.44,1012.08,1005.48,1005.73,61.12412
1762761600,1005.76,1006.2,996.45,997.8,36.49581
1762765200,997.82,1005.67,997.06,1005.63,50.15552
1762768800,1004.85,1004.85,997.72,999.05,29.5101
1762772400,999.44,1001.61,998.84,998.84,16.8028
1762776000,999.44,999.92,994.24,996.58,34.0363
1762779600,996.45,1003.4,996.2,1002.96,55.87675
1762783200,1002.82,1002.82,981.81,983.92,68.00423
1762786800,983.92,988.59,976.38,979.86,49.37651
1762790400,980,982.54,976.22,980.35,42.63155
1762794000,980.55,987.7,979.44,986.99,92.53234
1762797600,986.99,987.54,982.52,982.67,32.29736
1762801200,982.7,989.38,982.24,988.12,131.00391
1762804800,988.26,991.85,986.91,988.67,95.63906
1762808400,988.4,988.4,983.22,986.51,52.11728
1762812000,986.44,995.12,985.32,995.12,45.46376
1762815600,994.56,995.89,991.5,992.15,49.04766
1762819200,992.21,993.48,986.88,993.44,54.23387
1762822800,993.58,1007.72,992.45,997.9,229.43772
1762826400,997.97,1007.57,991.54,1003.5,127.10353
1762830000,1003.8,1005.28,997.11,1001.39,218.92555
1762833600,1000.45,1002.36,986.4,988.08,312.33132
1762837200,988.2,988.44,981.38,982.9,125.83349
1762840800,983.04,985.14,979.68,984.28,50.84251
1762844400,984.1,985.23,972.08,974.45,114.6439
1762848000,974.16,978.19,972.84,977.46,61.93861
1762851600,977.56,980.52,974.8,974.88,89.4394
1762855200,974.76,979.21,974.52,978.46,76.61885
1762858800,978.48,982.79,978.48,980.42,57.13826
1762862400,980.29,984.28,977.52,980.07,109.85019
1762866000,980.16,983.16,976.83,977.22,85.74148
1762869600,977.33,984.12,974.99,983.91,128.70359
1762873200,983.62,983.62,972.07,975.97,165.05357
1762876800,975.8,977.6,972.91,974.78,155.96626
1762880400,974.95,977.16,962.01,967.43,659.02762
1762884000,967.44,969,964.68,967.05,60.94343
1762887600,967.32,967.44,960.58,961.31,151.33945
1762891200,961.31,963.36,957.11,960.42,136.58857
1762894800,960.38,962.47,956.6,958.68,119.24541
1762898400,958.56,964.9,955.81,964.18,39.82681
1762902000,964.18,964.55,956.43,957.82,62.98076
1762905600,958.07,962.13,955,955.56,102.6063
1762909200,955.88,965.02,955,963.58,83.75497
1762912800,962.92,964.76,957.74,960.57,104.73804
1762916400,960.52,962.47,960.31,960.57,40.41812
1762920000,960.54,962.05,957.43,959.28,53.12617
1762923600,959.42,962.35,957.48,957.97,46.7445
1762927200,958.11,961.48,957.64,957.9,54.54717
1762930800,957.75,959.39,951.9,953.1,32.64166
1762934400,953.24,964.38,953.24,963.38,57.20998
1762938000,963.82,968.99,963.66,966.49,81.8426
1762941600,967.08,972.9,967.08,972.24,52.78146
1762945200,972.31,975,968.52,971.28,62.95156
1762948800,971.04,974.88,970.2,973.14,70.56564
1762952400,973.13,978.12,970.44,976.3,47.62841
1762956000,976.17,976.17,959.41,965.9,140.42264
1762959600,966.03,968.93,946.4,948.87,227.18317
1762963200,949,951.28,937.96,942.66,233.7074
1762966800,942.97,952.12,941.25,949.9,214.92125
1762970400,950.16,954.74,949.36,951.14,80.08262
1762974000,950.85,950.95,942.46,948.87,145.94166
1762977600,948.74,955.11,946.92,952.96,64.43121
1762981200,953.16,957.44,953.16,955.63,48.5936
1762984800,955.12,957.13,952.17,957.13,35.26952
1762988400,956.02,956.02,951.34,952.89,46.89105
1762992000,953.19,956.41,951.86,953.03,77.98957
1762995600,952.9,959.51,952.38,955.72,61.64876
1762999200,955.4,956.73,953.35,955.58,33.33736
1763002800,955.11,963.35,946.66,959.66,85.22612
1763006400,959.92,962.52,957.19,962,41.0845
1763010000,961.48,970.72,959.27,968.63,73.23965
1763013600,968.84,970.84,966.68,967.81,106.01724
1763017200,968.11,969.4,963.37,964.71,36.54279
1763020800,964.48,967.78,964.21,965.99,12.00704
1763024400,964.89,965.06,959.37,960.34,26.42397
1763028000,960.83,965.92,960.83,963.69,25.58946
1763031600,963.94,967.07,963.11,966.9,29.79372
1763035200,966.69,967.46,964.48,965.51,63.5766
1763038800,965.33,966.03,957.06,959.66,53.66743
1763042400,959.79,967.18,952.64,963.68,83.15314
1763046000,963.45,965.64,953.82,957.23,92.93579
1763049600,957.23,958.86,945,946.41,175.33292
1763053200,945.97,945.99,930,930.19,220.27074
1763056800,930.19,932.45,913.68,916.68,249.83707
1763060400,916.49,923.7,910.9,912.96,120.06807
1763064000,912.84,918.21,905.76,913.8,113.46641
1763067600,913.8,918.12,909.36,914.4,339.63351
1763071200,914.28,924.46,911.64,922.3,115.76987
1763074800,922.6,948.16,920.01,926.38,406.37525
1763078400,926.24,928.62,918.96,920.78,87.24529
1763082000,920.36,925.8,918.69,921.17,142.28531
1763085600,921.19,932.85,921,930.04,161.45705
1763089200,929.73,931.08,919.87,923.36,189.76382
1763092800,923.26,923.69,899.66,913.8,182.6383
1763096400,913.44,919.32,911.76,919.04,77.92482
1763100000,918.9,923.36,906.88,922.94,243.75714
1763103600,922.4,926.32,917.92,922.24,81.58523
1763107200,922.13,922.42,915.09,919.3,69.25206
1763110800,919.06,921.58,909.48,910.36,79.66709
1763114400,910.69,917.18,910.14,912.45,37.64469
1763118000,912.23,914.54,904.64,908.17,62.76243
1763121600,908.6,908.6,887.6,905.3,145.94431
1763125200,905.19,909.04,896.07,904.61,126.31157
1763128800,905.21,926.99,904.14,923.36,326.86394
1763132400,923.35,930.22,917.41,924.6,163.93686
1763136000,924.53,932.76,921.24,930.61,78.09051
1763139600,930.6,931.56,920.28,922.08,113.24788
1763143200,921.84,926.52,918.12,920.27,38.42664
1763146800,920.27,931.94,919.32,930.84,113.9704
1763150400,930.96,932.64,913.68,918.35,121.70556
1763154000,918.66,927.05,916.53,924.96,268.09282
1763157600,924.67,928,919.8,921.36,48.07466
1763161200,921.48,921.78,907.3,915.39,139.24962
1763164800,915.48,925.11,915.48,921.23,177.18685
1763168400,921.24,929.04,918.73,927.67,67.95337
1763172000,927.36,935.04,926.03,935.04,111.05935
1763175600,934.8,934.8,928.85,931.32,156.27101
1763179200,931.22,933.07,926.39,927.33,41.44504
1763182800,927.13,931.85,926.77,931.44,33.58408
1763186400,931.32,934.97,930,931.68,50.53489
1763190000,931.56,935.99,930.96,935.76,38.43328
1763193600,935.52,938.16,930.1,932.04,147.48379
1763197200,931.93,937.8,930.25,934.2,68.7695
1763200800,934.12,936.55,929.77,936.13,49.29063
1763204400,936.12,936.72,928.54,929.88,26.28642
1763208000,929.98,934.54,928.56,933.96,23.09967
1763211600,933.84,937.32,932.79,935.76,64.53761
1763215200,936.16,937.01,933.82,935.87,74.98174
1763218800,935.83,937.44,934.46,936.13,58.84534
1763222400,936.13,936.24,930.73,936.24,58.89398
1763226000,936.36,940.8,935.6,940.1,34.83697
1763229600,940.2,942.37,939.52,940.71,39.95596
1763233200,940.45,944.51,940.38,940.38,36.44251
1763236800,940.85,940.85,930.96,932.5,47.43732
1763240400,932.13,933.41,925.37,926.8,71.24005
1763244000,926.98,931.98,926.24,931.65,63.33346
1763247600,931.19,935.74,930.72,931.43,54.8255
1763251200,931.42,932.54,927.36,929.1,136.6881
1763254800,929,929.4,921.23,927.51,102.73282
1763258400,927.26,939.3,924.78,938.52,97.55575
1763262000,938.4,940.71,936.24,940.54,28.22823
1763265600,940.56,940.8,937.2,940.36,38.82946
1763269200,940.34,944.27,940.34,942.97,91.91734
1763272800,942.96,947.52,942.24,942.43,100.46923
1763276400,942.12,942.84,940.11,942.74,13.36354
1763280000,942.84,944.71,941.04,944.1,88.08325
1763283600,944.18,948.6,941.4,948.01,37.79139
1763287200,948,948.74,946.2,946.92,25.111
1763290800,947.04,947.28,930.12,931.2,46.76802
1763294400,931.2,936.84,927.96,932.04,56.37533
1763298000,932.16,933.37,925.44,929.28,68.68721
1763301600,929.52,938.28,928.69,935.53,42.15982
1763305200,935.52,935.52,921.61,922.56,75.3191
1763308800,922.68,926.92,912.72,913.84,224.51959
1763312400,913.92,918.72,908.06,915.24,94.63701
1763316000,915.12,929.74,912.66,915.18,220.5171
